Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,9.916666030883789,9.833333015441895,9.75,9.75,3.216787815093994,9600
1996-01-03,9.739583015441895,9.739583015441895,9.739583015441895,9.739583015441895,3.213350772857666,4800
1996-01-04,9.739583015441895,9.791666030883789,9.645833015441895,9.791666030883789,3.2305338382720947,4800
1996-01-05,9.791666030883789,9.791666030883789,9.791666030883789,9.791666030883789,3.2305338382720947,0
1996-01-08,9.791666030883789,9.6875,9.541666030883789,9.541666030883789,3.148052215576172,4800
1996-01-09,9.291666030883789,9.585415840148926,9.25,9.585415840148926,3.1624865531921387,43200
1996-01-10,9.583333015441895,9.666666030883789,9.583333015441895,9.666666030883789,3.189293146133423,3340800
1996-01-11,9.666666030883789,9.583333015441895,9.25,9.541666030883789,3.148052215576172,19200
1996-01-12,9.541666030883789,9.541666030883789,9.541666030883789,9.541666030883789,3.148052215576172,0
1996-01-15,9.541666030883789,9.541666030883789,9.541666030883789,9.541666030883789,3.148052215576172,0
1996-01-16,9.791666030883789,9.791666030883789,9.583333015441895,9.791666030883789,3.2305338382720947,9600
1996-01-17,9.791666030883789,9.791666030883789,9.791666030883789,9.791666030883789,3.2305338382720947,0
1996-01-18,9.166666030883789,9.166666030883789,9.166666030883789,9.166666030883789,3.024329662322998,2400
1996-01-19,9.166666030883789,9.166666030883789,9.166666030883789,9.166666030883789,3.024329662322998,0
1996-01-22,9.166666030883789,9.166666030883789,9.166666030883789,9.166666030883789,3.024329662322998,0
1996-01-23,9.166666030883789,9.166666030883789,9.166666030883789,9.166666030883789,3.024329662322998,0
1996-01-24,9.166666030883789,9.166666030883789,9.166666030883789,9.166666030883789,3.024329662322998,0
1996-01-25,9.166666030883789,9.166666030883789,9.166666030883789,9.166666030883789,3.024329662322998,2400
1996-01-26,9.166666030883789,9.166666030883789,9.166666030883789,9.166666030883789,3.024329662322998,0
1996-01-29,9.166666030883789,9.333333015441895,9.272915840148926,9.300000190734863,3.0683202743530273,21600
1996-01-30,9.300000190734863,9.375,9.210415840148926,9.375,3.093065023422241,40800
1996-01-31,9.375,9.375,9.375,9.375,3.093065023422241,0
1996-02-01,9.375,9.583333015441895,9.375,9.583333015441895,3.1618003845214844,28800
1996-02-02,9.75,10.0,9.668749809265137,9.752082824707031,3.2174746990203857,38400
1996-02-05,10.0,10.708333015441895,10.0,10.708333015441895,3.5329678058624268,74400
1996-02-06,10.708333015441895,11.166666030883789,10.833333015441895,11.083333015441895,3.6566896438598633,45600
1996-02-07,11.083333015441895,10.84375,10.833333015441895,10.833333015441895,3.574209213256836,9600
1996-02-08,10.833333015441895,11.208333015441895,10.895833015441895,11.041666030883789,3.6429431438446045,9600
1996-02-09,11.416666030883789,11.416666030883789,11.166666030883789,11.404166221618652,3.7625417709350586,26400
1996-02-12,11.404166221618652,12.291666030883789,11.791666030883789,11.875,3.917882204055786,943200
1996-02-13,11.875,12.5625,12.083333015441895,12.291666030883789,4.055352210998535,158400
1996-02-14,12.293749809265137,12.458333015441895,12.293749809265137,12.293749809265137,4.0560407638549805,14400
1996-02-15,12.375,12.375,12.291666030883789,12.291666030883789,4.055352210998535,19200
1996-02-16,12.291666030883789,12.291666030883789,12.083333015441895,12.133333206176758,4.003114223480225,72000
1996-02-19,12.133333206176758,12.291666030883789,11.877082824707031,12.291666030883789,4.055352210998535,40800
1996-02-20,12.291666030883789,12.083333015441895,11.875,11.958333015441895,3.9453766345977783,19200
1996-02-21,11.958333015441895,11.958333015441895,11.958333015441895,11.958333015441895,3.9453766345977783,0
1996-02-22,12.041666030883789,12.291666030883789,12.041666030883789,12.291666030883789,4.055352210998535,12000
1996-02-23,12.291666030883789,12.168749809265137,12.083333015441895,12.166666030883789,4.014111042022705,31200
1996-02-26,12.166666030883789,12.458333015441895,12.291666030883789,12.458333015441895,4.110339164733887,36000
1996-02-27,12.458333015441895,12.458333015441895,12.395833015441895,12.458333015441895,4.110339164733887,9600
1996-02-28,12.458333015441895,12.458333015441895,12.458333015441895,12.458333015441895,4.110339164733887,0
1996-02-29,12.458333015441895,12.083333015441895,11.875,11.875,3.917882204055786,4800
1996-03-01,11.875,12.089583396911621,12.0,12.0,3.9591243267059326,28800
1996-03-04,12.010416030883789,12.083333015441895,12.010416030883789,12.083333015441895,3.986616849899292,14400
1996-03-05,12.083333015441895,12.083333015441895,12.083333015441895,12.083333015441895,3.986616849899292,0
1996-03-06,12.083333015441895,12.28125,11.875,12.222915649414062,4.032669544219971,105600
1996-03-07,12.222915649414062,12.270833015441895,12.083333015441895,12.177083015441895,4.017547607421875,24000
1996-03-08,12.177083015441895,11.958333015441895,11.958333015441895,11.958333015441895,3.9453766345977783,2400
1996-03-11,11.958333015441895,12.087499618530273,11.958333015441895,12.085415840148926,3.9873039722442627,19200
1996-03-12,12.085415840148926,12.166666030883789,11.918749809265137,12.0,3.9591243267059326,496800
1996-03-13,12.0,12.0,12.0,12.0,3.9591243267059326,0
1996-03-14,12.0,12.0,12.0,12.0,3.9591243267059326,0
1996-03-15,12.0,12.083333015441895,11.875,11.916666030883789,3.931628942489624,1243200
1996-03-18,11.875,11.875,11.791666030883789,11.850000381469727,3.9096343517303467,26400
